time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 264, 14.507576, 0, 69, 2, 13, 22
1, 268, 14.451493, 0, 91, 2, 13, 22
2, 255, 14.929412, 0, 76, 2, 15, 23
3, 263, 15.019011, 1, 69, 2, 14, 23
4, 264, 14.602273, 1, 83, 2, 13, 22
5, 276, 13.815217, 1, 80, 2, 11, 23
6, 223, 17.224215, 1, 94, 3, 17, 24
7, 263, 14.870722, 1, 82, 2, 14, 22
8, 268, 14.421642, 0, 60, 2, 14, 22
9, 276, 14.054348, 0, 103, 2, 13, 21
10, 279, 13.774194, 0, 60, 2, 12, 21
11, 273, 14.018315, 1, 82, 2, 12, 21
12, 257, 15.046693, 0, 68, 2, 13, 22
13, 256, 15.132813, 0, 87, 2, 15, 22
14, 253, 15.272727, 1, 70, 2, 14, 22
15, 274, 14.215328, 0, 58, 2, 13, 21
16, 242, 15.785124, 1, 68, 3, 15, 23
17, 273, 14.208791, 0, 77, 2, 13, 21
18, 250, 15.232000, 1, 76, 2, 14, 23
19, 270, 14.548148, 0, 107, 1, 14, 22
20, 241, 16.000000, 0, 76, 2, 15, 23
21, 253, 15.351779, 1, 72, 2, 15, 22
22, 256, 15.144531, 1, 92, 2, 14, 23
23, 252, 15.384921, 0, 89, 2, 14, 23
24, 264, 14.602273, 1, 66, 2, 13, 21
25, 277, 14.003610, 1, 70, 2, 12, 21
26, 258, 14.914729, 1, 86, 2, 13, 22
27, 273, 14.069597, 1, 67, 2, 13, 20
28, 264, 14.640152, 1, 104, 2, 13, 21
29, 275, 14.152727, 1, 84, 3, 12, 20
30, 272, 14.077206, 0, 73, 2, 12, 20
31, 273, 14.007326, 0, 64, 2, 13, 21
32, 287, 13.501742, 1, 64, 2, 11, 21
33, 261, 14.954023, 0, 117, 2, 14, 22
34, 248, 15.439516, 0, 66, 2, 15, 23
35, 262, 14.801527, 1, 97, 2, 13, 21
36, 271, 14.158672, 0, 76, 2, 12, 21
37, 260, 15.007692, 0, 68, 2, 14, 22
38, 258, 14.926357, 1, 71, 3, 14, 22
39, 269, 14.174721, 1, 55, 2, 12, 21
40, 270, 14.403704, 0, 75, 2, 14, 21
41, 273, 14.201465, 0, 81, 3, 12, 21
42, 245, 15.697959, 0, 92, 3, 15, 22
43, 254, 15.251969, 0, 61, 2, 14, 23
44, 293, 13.133106, 0, 64, 2, 11, 20
45, 249, 15.614458, 0, 96, 2, 15, 24
46, 260, 14.807692, 1, 71, 3, 13, 22
47, 246, 15.686992, 1, 90, 2, 15, 23
48, 271, 14.284133, 0, 70, 2, 13, 21
49, 244, 16.073770, 1, 88, 3, 15, 22
50, 260, 14.569231, 1, 58, 2, 13, 22
51, 267, 14.591760, 1, 73, 2, 12, 21
52, 275, 14.116364, 0, 69, 2, 11, 22
53, 256, 15.082031, 0, 89, 2, 15, 21
54, 275, 14.047273, 1, 78, 2, 13, 22
55, 247, 15.607287, 0, 68, 2, 13, 24
56, 280, 13.753571, 1, 73, 3, 12, 20
57, 261, 14.842912, 1, 60, 2, 13, 22
58, 251, 15.442231, 1, 64, 3, 15, 24
59, 277, 14.014440, 0, 76, 2, 13, 21
