time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0,1864,1.620172,0,8,1,2,2
1,1945,1.54653,1,7,1,2,2
2,1921,1.562728,1,6,1,2,2
3,1932,1.55383,1,7,1,2,2
4,1884,1.59448,1,7,1,2,2
5,1928,1.553942,0,8,1,2,2
6,1968,1.522866,1,7,1,2,2
7,1937,1.551884,0,7,1,2,2
8,1922,1.565557,0,8,1,2,2
9,1906,1.56873,1,7,1,2,2
10,1920,1.573958,1,8,1,2,2
11,1875,1.608533,0,7,1,2,2
12,1947,1.538778,1,7,1,2,2
13,1969,1.523108,1,7,1,2,2
14,1955,1.537084,1,7,1,2,2
15,1956,1.539877,1,7,1,2,2
16,1933,1.557682,1,7,1,2,2
17,1933,1.559752,1,7,1,2,2
18,1891,1.594923,1,8,1,2,2
19,1876,1.609275,1,8,1,2,2
20,1858,1.639397,1,30,1,2,2
21,1929,1.569207,0,7,1,2,2
22,1950,1.544103,1,7,1,2,2
23,1960,1.539286,1,8,1,2,2
24,1957,1.530915,1,8,1,2,2
25,1943,1.544004,1,8,1,2,2
26,1905,1.580052,1,12,1,2,2
27,1975,1.515443,0,7,1,1,2
28,1954,1.538383,1,7,1,2,2
29,1934,1.561531,1,8,1,2,2
30,1828,1.628556,1,8,1,2,2
31,1859,1.594944,0,8,1,2,2
32,1847,1.617217,1,8,1,2,2
33,1757,1.734206,1,13,1,2,2
34,1747,1.722381,1,8,1,2,2
35,1839,1.618815,1,8,1,2,2
36,1814,1.641676,1,7,1,2,2
37,1788,1.662192,1,9,1,2,2
38,1792,1.667411,1,10,1,2,2
39,1858,1.595802,1,8,1,2,2
40,1817,1.629059,1,8,1,2,2
41,1794,1.667781,1,9,1,2,2
42,1822,1.627333,1,8,1,2,2
43,1792,1.672991,1,8,1,2,2
44,1740,1.736207,1,8,1,2,2
45,1781,1.679955,0,8,1,2,2
46,1686,1.805457,1,10,1,2,2
47,1842,1.614549,1,9,1,2,2
48,1841,1.602933,1,10,1,2,2
49,1770,1.707345,1,8,1,2,2
50,1859,1.581495,1,8,1,2,2
51,1692,1.791371,1,9,1,2,2
52,1799,1.650361,1,8,1,2,2
53,1783,1.685923,0,9,1,2,2
54,1703,1.781562,1,8,1,2,2
55,1772,1.691309,1,8,1,2,2
56,1814,1.63892,1,8,1,2,2
57,1778,1.679415,1,8,1,2,2
58,1604,1.94202,1,9,1,2,2
59,1831,1.608957,0,8,1,2,2
60,3,2,1,3,1,2,3
,1827.52459,1.624986115,0.819672131,8.295081967,1,1.983606557,2.016393443
