time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3866, 1.534402, 0, 16, 1, 1, 2
1, 4130, 1.398305, 0, 14, 1, 1, 2
2, 4259, 1.342569, 0, 5, 1, 1, 2
3, 3853, 1.550221, 0, 17, 1, 1, 2
4, 3114, 2.049775, 0, 40, 1, 1, 2
5, 4305, 1.322416, 0, 7, 1, 1, 1
6, 4081, 1.421710, 0, 14, 1, 1, 2
7, 3940, 1.503807, 0, 18, 1, 1, 2
8, 4313, 1.308370, 0, 6, 1, 1, 1
9, 4113, 1.411865, 0, 9, 1, 1, 2
10, 3946, 1.506082, 0, 17, 1, 1, 2
11, 4257, 1.332394, 0, 7, 1, 1, 1
12, 4237, 1.345527, 0, 8, 1, 1, 1
13, 3909, 1.524942, 0, 20, 1, 1, 2
14, 4252, 1.344309, 0, 8, 1, 1, 1
15, 4365, 1.293471, 0, 6, 1, 1, 1
16, 3883, 1.533093, 0, 20, 1, 1, 2
17, 4072, 1.421415, 0, 16, 1, 1, 2
18, 3555, 1.693952, 0, 30, 1, 1, 2
19, 3873, 1.534986, 0, 28, 1, 1, 2
20, 3644, 1.658342, 0, 51, 1, 1, 2
21, 4004, 1.464785, 0, 21, 1, 1, 2
22, 4046, 1.433762, 0, 20, 1, 1, 2
23, 3770, 1.582493, 0, 22, 1, 1, 2
24, 3664, 1.639192, 0, 35, 1, 1, 2
25, 4085, 1.414443, 0, 34, 1, 1, 2
26, 3755, 1.602397, 0, 22, 1, 1, 2
27, 3935, 1.476747, 0, 12, 1, 1, 2
28, 4024, 1.442346, 0, 9, 1, 1, 2
29, 3608, 1.681264, 0, 34, 1, 1, 2
30, 3503, 1.763346, 0, 31, 1, 1, 2
31, 3890, 1.516452, 0, 17, 1, 1, 2
32, 4261, 1.321051, 0, 6, 1, 1, 1
33, 4072, 1.431483, 0, 19, 1, 1, 2
34, 4110, 1.401703, 0, 19, 1, 1, 2
35, 4173, 1.358016, 0, 9, 1, 1, 2
36, 4056, 1.440828, 0, 16, 1, 1, 2
37, 3381, 1.836143, 1, 39, 1, 1, 2
38, 4298, 1.308748, 0, 5, 1, 1, 1
39, 4207, 1.340860, 0, 8, 1, 1, 1
40, 3731, 1.624497, 0, 31, 1, 1, 2
41, 3949, 1.474297, 0, 17, 1, 1, 2
42, 4171, 1.371614, 0, 6, 1, 1, 2
43, 4059, 1.419315, 0, 13, 1, 1, 2
44, 3913, 1.510606, 0, 25, 1, 1, 2
45, 4306, 1.301904, 0, 5, 1, 1, 1
46, 4111, 1.391632, 0, 13, 1, 1, 2
47, 3824, 1.546287, 1, 14, 1, 1, 2
48, 4262, 1.320741, 0, 6, 1, 1, 1
49, 4122, 1.386705, 0, 11, 1, 1, 2
50, 3788, 1.564150, 0, 15, 1, 1, 2
51, 4276, 1.309869, 0, 5, 1, 1, 1
52, 4209, 1.334284, 0, 8, 1, 1, 1
53, 3770, 1.588859, 1, 20, 1, 1, 2
54, 4183, 1.343294, 0, 7, 1, 1, 2
55, 4180, 1.334928, 0, 6, 1, 1, 1
56, 3807, 1.556869, 0, 15, 1, 1, 2
57, 4001, 1.437391, 0, 9, 1, 1, 2
58, 4130, 1.366344, 0, 5, 1, 1, 2
59, 3785, 1.575165, 0, 19, 1, 1, 2
60, 71, 1.492958, 1, 4, 1, 1, 2
