time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 238, 7.844538, 1, 25, 3, 8, 11
1, 249, 7.542169, 1, 24, 4, 7, 10
2, 228, 8.232456, 1, 29, 4, 8, 11
3, 227, 8.317181, 1, 30, 3, 8, 12
4, 248, 7.600806, 1, 28, 2, 7, 10
5, 240, 7.808333, 1, 28, 2, 7, 11
6, 216, 8.712963, 1, 22, 5, 8, 12
7, 198, 9.671717, 1, 30, 5, 9, 13
8, 261, 7.107280, 1, 21, 4, 7, 9
9, 254, 7.381890, 1, 29, 2, 7, 10
10, 263, 7.110266, 1, 27, 3, 7, 10
11, 215, 8.762791, 1, 26, 4, 8, 13
12, 216, 8.759259, 1, 38, 4, 8, 11
13, 227, 8.325991, 1, 27, 5, 8, 11
14, 236, 8.004237, 1, 31, 4, 7, 11
15, 233, 8.055794, 1, 20, 4, 8, 11
16, 209, 9.019139, 1, 33, 2, 8, 13
17, 249, 7.469880, 1, 23, 2, 8, 10
18, 251, 7.521912, 1, 30, 2, 6, 10
19, 242, 7.768595, 1, 29, 4, 7, 11
20, 226, 8.274336, 1, 30, 4, 8, 11
21, 230, 8.191304, 1, 29, 3, 7, 11
22, 235, 8.021277, 1, 24, 4, 7, 11
23, 263, 7.064639, 1, 22, 2, 7, 10
24, 229, 8.314410, 1, 25, 5, 7, 12
25, 244, 7.713115, 1, 40, 2, 7, 11
26, 268, 6.970149, 1, 22, 2, 6, 10
27, 249, 7.485944, 1, 22, 2, 7, 11
28, 245, 7.706122, 1, 26, 4, 7, 10
29, 228, 8.219298, 1, 24, 2, 8, 11
30, 212, 8.981132, 1, 32, 5, 9, 12
31, 206, 9.179612, 1, 35, 6, 8, 13
32, 208, 9.110577, 1, 33, 5, 9, 13
33, 248, 7.544355, 1, 21, 4, 7, 11
34, 235, 8.051064, 1, 28, 3, 7, 11
35, 223, 8.381166, 1, 21, 5, 8, 12
36, 249, 7.586345, 1, 25, 2, 7, 11
37, 253, 7.351779, 1, 27, 2, 7, 11
38, 233, 8.107296, 1, 23, 4, 7, 11
39, 238, 7.886555, 1, 29, 3, 7, 10
40, 195, 9.656410, 1, 31, 5, 9, 12
41, 237, 7.936709, 1, 26, 2, 8, 11
42, 241, 7.863071, 1, 23, 4, 8, 11
43, 218, 8.582569, 1, 27, 5, 8, 12
44, 236, 7.961864, 1, 23, 4, 8, 11
45, 259, 7.212355, 1, 23, 2, 6, 10
46, 223, 8.466368, 1, 28, 3, 8, 12
47, 221, 8.547511, 1, 29, 5, 8, 11
48, 243, 7.695473, 1, 24, 3, 7, 11
49, 228, 8.328947, 1, 27, 4, 8, 12
50, 227, 8.317181, 1, 30, 4, 7, 12
51, 214, 8.831776, 1, 27, 2, 9, 12
52, 232, 8.146552, 1, 28, 2, 8, 11
53, 255, 7.349020, 1, 25, 2, 7, 10
54, 261, 7.126437, 1, 22, 4, 6, 10
55, 234, 8.064103, 1, 27, 4, 7, 11
56, 236, 7.944915, 1, 27, 2, 8, 11
57, 244, 7.713115, 1, 28, 2, 7, 11
58, 200, 9.440000, 1, 32, 5, 9, 13
59, 240, 7.841667, 1, 27, 3, 8, 11
60, 2, 6.000000, 6, 6, 6, 6, 6
