time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 224, 8.397321, 1, 27, 2, 8, 12
1, 210, 9.033333, 1, 26, 4, 9, 12
2, 207, 9.135266, 1, 29, 2, 9, 13
3, 219, 8.584475, 1, 26, 2, 8, 13
4, 239, 7.845188, 1, 25, 2, 7, 11
5, 204, 9.235294, 1, 28, 4, 9, 13
6, 197, 9.619289, 1, 28, 5, 9, 13
7, 210, 9.061905, 1, 45, 3, 8, 12
8, 205, 9.190244, 1, 26, 5, 8, 12
9, 236, 7.915254, 1, 29, 2, 8, 11
10, 205, 9.229268, 1, 34, 3, 8, 14
11, 196, 9.698980, 1, 23, 5, 9, 13
12, 216, 8.699074, 1, 27, 2, 9, 12
13, 202, 9.341584, 1, 24, 5, 10, 13
14, 205, 9.248780, 1, 31, 6, 9, 12
15, 223, 8.385650, 1, 30, 2, 8, 12
16, 199, 9.577889, 1, 28, 5, 10, 13
17, 204, 9.279412, 1, 24, 6, 9, 13
18, 221, 8.461538, 1, 26, 3, 8, 11
19, 197, 9.604061, 1, 35, 5, 9, 14
20, 205, 9.278049, 1, 30, 5, 9, 13
21, 195, 9.758974, 1, 32, 3, 9, 13
22, 203, 9.325123, 1, 30, 4, 9, 13
23, 234, 7.970085, 1, 28, 2, 8, 11
24, 215, 8.762791, 1, 37, 3, 8, 12
25, 218, 8.619266, 1, 26, 4, 8, 12
26, 211, 9.014218, 1, 32, 3, 8, 13
27, 228, 8.192982, 1, 23, 2, 8, 12
28, 212, 8.938679, 1, 25, 5, 9, 12
29, 207, 8.898551, 1, 26, 5, 9, 12
30, 195, 9.964103, 1, 39, 6, 9, 14
31, 184, 10.342391, 1, 28, 5, 9, 15
32, 229, 8.262009, 1, 29, 2, 7, 11
33, 209, 9.052632, 1, 27, 2, 9, 13
34, 200, 9.425000, 1, 28, 3, 9, 13
35, 200, 9.435000, 1, 26, 5, 9, 12
36, 191, 9.900524, 1, 28, 6, 10, 14
37, 184, 10.418478, 1, 42, 3, 9, 14
38, 209, 8.990431, 1, 25, 5, 9, 13
39, 211, 8.990521, 1, 24, 3, 9, 13
40, 227, 8.154185, 1, 27, 2, 8, 11
41, 222, 8.531532, 1, 23, 3, 8, 12
42, 203, 9.384236, 1, 24, 5, 9, 14
43, 225, 8.315556, 1, 26, 2, 8, 11
44, 220, 8.627273, 1, 35, 4, 8, 12
45, 193, 9.808290, 1, 23, 5, 9, 14
46, 200, 9.385000, 1, 27, 3, 9, 13
47, 203, 9.320197, 1, 29, 6, 9, 12
48, 205, 9.312195, 1, 27, 5, 9, 13
49, 214, 8.799065, 1, 26, 3, 8, 12
50, 214, 8.714953, 1, 26, 5, 8, 12
51, 234, 8.132479, 1, 24, 2, 8, 11
52, 186, 10.123656, 1, 29, 6, 10, 14
53, 187, 10.181818, 1, 27, 5, 10, 14
54, 201, 9.378109, 1, 26, 4, 9, 13
55, 178, 10.679775, 1, 40, 3, 9, 15
56, 179, 10.715084, 2, 36, 4, 10, 15
57, 161, 11.900621, 1, 35, 4, 11, 17
58, 199, 9.517588, 1, 28, 5, 9, 13
59, 183, 10.442623, 1, 30, 5, 10, 14
