time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3280, 0.594817, 0, 8, 0, 1, 1
1, 3143, 0.631880, 0, 8, 0, 1, 1
2, 3138, 0.618228, 0, 8, 0, 1, 1
3, 3204, 0.588951, 0, 7, 0, 1, 1
4, 3028, 0.694848, 0, 8, 0, 1, 1
5, 3067, 0.656668, 0, 9, 0, 1, 1
6, 3109, 0.629463, 0, 8, 0, 1, 1
7, 3064, 0.666123, 0, 8, 0, 1, 1
8, 3145, 0.600636, 0, 8, 0, 1, 1
9, 3154, 0.608117, 0, 8, 0, 1, 1
10, 3155, 0.603803, 0, 8, 0, 1, 1
11, 3103, 0.644538, 0, 9, 0, 1, 1
12, 3137, 0.609500, 0, 8, 0, 1, 1
13, 2959, 0.754985, 0, 9, 0, 1, 1
14, 2991, 0.710799, 0, 9, 0, 1, 1
15, 3076, 0.646294, 0, 9, 0, 1, 1
16, 3089, 0.646811, 0, 9, 0, 1, 1
17, 3148, 0.614358, 0, 9, 0, 1, 1
18, 3074, 0.649317, 0, 9, 0, 1, 1
19, 3079, 0.643391, 0, 9, 0, 1, 1
20, 3026, 0.689689, 0, 9, 0, 1, 1
21, 3084, 0.651427, 0, 9, 0, 1, 1
22, 3112, 0.634640, 0, 9, 0, 1, 1
23, 3046, 0.659882, 0, 9, 0, 1, 1
24, 3036, 0.677866, 0, 9, 0, 1, 1
25, 3051, 0.660767, 0, 10, 0, 1, 1
26, 3072, 0.657878, 0, 9, 0, 1, 1
27, 3050, 0.662951, 0, 9, 0, 1, 1
28, 2996, 0.693591, 0, 9, 0, 1, 1
29, 3024, 0.687169, 0, 9, 0, 1, 1
30, 3086, 0.650680, 0, 10, 0, 1, 1
31, 3043, 0.672034, 0, 10, 0, 1, 1
32, 3047, 0.667214, 0, 9, 0, 1, 1
33, 3061, 0.660568, 0, 9, 0, 1, 1
34, 3026, 0.677792, 0, 10, 0, 1, 1
35, 2991, 0.726847, 0, 10, 0, 1, 1
36, 3030, 0.695710, 0, 10, 0, 1, 1
37, 2994, 0.709419, 0, 10, 0, 1, 1
38, 2955, 0.756007, 0, 9, 0, 1, 1
39, 3002, 0.702865, 0, 10, 0, 1, 1
40, 3035, 0.692257, 0, 10, 0, 1, 1
41, 3050, 0.669180, 0, 10, 0, 1, 1
42, 3033, 0.685790, 0, 10, 0, 1, 1
43, 3003, 0.693973, 0, 10, 0, 1, 1
44, 2932, 0.763302, 0, 10, 0, 1, 1
45, 3017, 0.695724, 0, 11, 0, 1, 1
46, 3049, 0.675959, 0, 10, 0, 1, 1
47, 2939, 0.752637, 0, 11, 0, 1, 1
48, 2934, 0.754260, 0, 10, 0, 1, 1
49, 2994, 0.709753, 0, 11, 0, 1, 1
50, 2978, 0.719610, 0, 11, 0, 1, 1
51, 2985, 0.711893, 0, 11, 0, 1, 1
52, 3010, 0.694352, 0, 11, 0, 1, 1
53, 3026, 0.693985, 0, 10, 0, 1, 1
54, 2967, 0.732390, 0, 11, 0, 1, 1
55, 2987, 0.712755, 0, 11, 0, 1, 1
56, 3006, 0.694943, 0, 11, 0, 1, 1
57, 3004, 0.706059, 0, 11, 0, 1, 1
58, 3017, 0.693404, 0, 11, 0, 1, 1
59, 3000, 0.711000, 0, 11, 0, 1, 1
60, 36, 0.611111, 0, 2, 0, 1, 1
