time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 419, 8.945107, 1, 199, 2, 4, 11
1, 506, 7.397233, 1, 141, 2, 3, 9
2, 497, 7.253521, 1, 150, 2, 3, 9
3, 527, 7.166983, 1, 137, 2, 3, 9
4, 510, 6.945098, 1, 90, 2, 3, 8
5, 531, 7.263653, 1, 237, 2, 3, 8
6, 492, 7.684959, 1, 212, 2, 3, 10
7, 520, 6.944231, 1, 153, 2, 3, 9
8, 505, 7.461386, 1, 287, 2, 3, 9
9, 536, 6.985075, 1, 213, 2, 3, 8
10, 537, 6.972067, 1, 206, 2, 3, 8
11, 496, 7.483871, 1, 97, 2, 3, 10
12, 518, 7.208494, 1, 112, 2, 3, 9
13, 533, 6.956848, 1, 154, 2, 3, 8
14, 536, 6.910448, 1, 123, 2, 3, 8
15, 518, 7.133205, 1, 93, 2, 3, 9
16, 518, 7.216216, 1, 223, 2, 3, 9
17, 527, 7.058824, 1, 84, 2, 3, 9
18, 516, 7.081395, 1, 82, 2, 3, 9
19, 543, 6.848987, 1, 164, 2, 3, 8
20, 546, 6.948718, 1, 131, 2, 3, 8
21, 508, 7.192913, 1, 216, 2, 3, 8
22, 471, 8.074310, 1, 122, 2, 3, 10
23, 465, 8.086022, 1, 266, 2, 3, 10
24, 506, 7.349802, 1, 134, 2, 3, 9
25, 526, 7.123574, 1, 117, 2, 3, 9
26, 503, 7.421471, 1, 117, 2, 3, 9
27, 544, 6.766544, 1, 114, 2, 3, 8
28, 502, 7.505976, 1, 172, 2, 3, 9
29, 464, 8.025862, 1, 246, 2, 4, 10
30, 502, 7.462151, 1, 114, 2, 3, 10
31, 461, 7.986985, 1, 207, 2, 3, 10
32, 479, 7.989562, 1, 141, 2, 3, 10
33, 480, 7.558333, 1, 132, 2, 3, 9
34, 502, 7.547809, 1, 94, 2, 3, 10
35, 527, 7.036053, 1, 139, 2, 3, 9
36, 480, 7.712500, 1, 169, 2, 3, 10
37, 511, 7.389432, 1, 113, 2, 3, 9
38, 493, 7.596349, 1, 147, 2, 3, 9
39, 443, 8.379233, 1, 116, 2, 4, 11
40, 511, 7.410959, 1, 158, 2, 3, 9
41, 501, 7.323353, 1, 109, 2, 3, 9
42, 515, 7.267961, 1, 145, 2, 3, 9
43, 473, 7.961945, 1, 154, 2, 4, 9
44, 489, 7.576687, 1, 170, 2, 3, 10
45, 494, 7.514170, 1, 115, 2, 3, 10
46, 496, 7.604839, 1, 90, 2, 3, 9
47, 468, 8.070513, 1, 180, 2, 3, 9
48, 511, 7.250489, 1, 129, 2, 3, 9
49, 485, 7.515464, 1, 140, 2, 3, 9
50, 452, 8.245575, 1, 140, 2, 3, 10
51, 472, 8.201271, 1, 252, 2, 3, 10
52, 496, 7.538306, 1, 165, 2, 3, 10
53, 516, 7.149225, 1, 86, 2, 3, 9
54, 494, 7.742915, 1, 115, 2, 3, 9
55, 488, 7.620902, 1, 104, 2, 3, 9
56, 490, 7.587755, 1, 146, 2, 3, 9
57, 514, 7.210117, 1, 115, 2, 3, 8
58, 453, 8.309051, 1, 164, 2, 3, 11
59, 503, 7.435388, 1, 186, 2, 3, 8
60, 11, 6.545455, 1, 24, 2, 2, 11
