time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 51, 38.725490, 3, 83, 31, 40, 49
1, 46, 42.565217, 4, 114, 35, 42, 52
2, 49, 40.122449, 3, 82, 34, 38, 47
3, 53, 37.264151, 3, 62, 28, 39, 47
4, 49, 40.102041, 4, 72, 31, 39, 52
5, 47, 42.106383, 3, 94, 32, 42, 54
6, 60, 32.783333, 3, 87, 27, 33, 39
7, 65, 30.630769, 3, 53, 24, 33, 38
8, 63, 30.873016, 3, 66, 24, 31, 39
9, 41, 47.682927, 5, 82, 41, 45, 57
10, 53, 37.849057, 3, 68, 32, 40, 47
11, 62, 31.354839, 3, 61, 25, 32, 42
12, 59, 33.898305, 3, 74, 28, 34, 42
13, 62, 31.048387, 4, 72, 23, 31, 37
14, 59, 33.898305, 3, 70, 26, 33, 40
15, 60, 32.000000, 3, 93, 24, 33, 41
16, 63, 31.857143, 3, 69, 25, 30, 42
17, 60, 32.466667, 3, 66, 26, 32, 39
18, 60, 33.250000, 3, 53, 26, 33, 43
19, 59, 33.169492, 3, 59, 27, 34, 41
20, 50, 39.040000, 4, 77, 30, 40, 47
21, 52, 37.942308, 3, 76, 29, 36, 44
22, 57, 35.263158, 3, 79, 27, 37, 42
23, 63, 30.888889, 3, 71, 26, 31, 38
24, 58, 34.120690, 3, 59, 29, 36, 42
25, 58, 33.655172, 3, 80, 25, 33, 42
26, 67, 29.537313, 3, 74, 25, 30, 36
27, 62, 31.645161, 3, 68, 25, 32, 39
28, 60, 33.066667, 3, 68, 25, 35, 44
29, 64, 30.562500, 3, 62, 24, 30, 37
30, 64, 30.421875, 3, 59, 25, 30, 37
31, 60, 33.300000, 3, 62, 23, 34, 44
32, 59, 32.796610, 3, 68, 27, 35, 40
33, 63, 31.380952, 3, 64, 25, 32, 39
34, 60, 32.966667, 3, 71, 26, 34, 39
35, 58, 34.034483, 3, 73, 26, 35, 40
36, 64, 30.687500, 3, 55, 24, 32, 40
37, 64, 30.296875, 3, 61, 24, 29, 39
38, 56, 35.410714, 3, 80, 28, 38, 42
39, 64, 31.187500, 3, 55, 26, 33, 40
40, 59, 32.864407, 3, 56, 27, 33, 40
41, 59, 33.610169, 3, 57, 28, 35, 42
42, 63, 30.380952, 3, 73, 25, 32, 38
43, 59, 33.966102, 3, 50, 27, 35, 42
44, 53, 37.037736, 3, 87, 26, 34, 44
45, 53, 37.396226, 3, 62, 29, 37, 46
46, 55, 36.254545, 3, 68, 31, 37, 45
47, 46, 41.956522, 4, 169, 29, 38, 52
48, 31, 64.161290, 4, 110, 45, 64, 84
49, 55, 35.836364, 3, 76, 29, 36, 44
50, 63, 31.079365, 3, 53, 27, 32, 41
51, 50, 39.680000, 3, 53, 35, 40, 48
52, 58, 33.844828, 3, 82, 26, 38, 44
53, 50, 39.760000, 3, 87, 31, 40, 43
54, 57, 34.719298, 3, 56, 28, 35, 44
55, 60, 32.583333, 3, 54, 27, 35, 41
56, 56, 35.500000, 3, 65, 29, 39, 45
57, 53, 36.943396, 3, 93, 30, 36, 41
58, 56, 35.053571, 3, 74, 28, 36, 42
59, 55, 36.054545, 4, 79, 30, 35, 42
