time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 248, 23.625000, 1, 104, 6, 19, 32
1, 299, 19.424749, 1, 118, 4, 15, 29
2, 267, 21.764045, 1, 105, 6, 19, 31
3, 263, 22.414449, 1, 106, 6, 19, 33
4, 303, 19.042904, 1, 115, 3, 15, 26
5, 268, 22.216418, 0, 136, 4, 17, 30
6, 303, 19.399340, 0, 90, 5, 16, 27
7, 276, 21.148551, 1, 107, 5, 18, 27
8, 292, 20.123288, 1, 103, 4, 17, 28
9, 276, 21.076087, 1, 103, 6, 17, 30
10, 281, 20.654804, 1, 74, 5, 19, 30
11, 276, 21.036232, 1, 161, 4, 17, 29
12, 230, 26.291304, 1, 119, 10, 22, 34
13, 280, 20.475000, 1, 104, 3, 18, 27
14, 286, 20.524476, 0, 91, 4, 17, 29
15, 268, 21.660448, 1, 92, 5, 18, 31
16, 285, 20.810526, 0, 82, 4, 18, 31
17, 272, 21.415441, 0, 117, 5, 19, 29
18, 258, 22.484496, 1, 94, 4, 20, 32
19, 299, 19.896321, 1, 116, 4, 18, 27
20, 248, 23.842742, 1, 127, 5, 18, 31
21, 250, 23.356000, 0, 128, 6, 19, 32
22, 271, 21.365314, 1, 91, 4, 19, 29
23, 259, 22.335907, 1, 115, 4, 20, 31
24, 254, 23.464567, 0, 126, 5, 19, 32
25, 301, 19.568106, 1, 101, 4, 16, 27
26, 260, 22.707692, 1, 133, 4, 20, 32
27, 251, 23.446215, 0, 101, 4, 20, 33
28, 302, 19.235099, 1, 82, 5, 17, 28
29, 242, 23.847107, 1, 111, 8, 20, 32
30, 269, 22.118959, 1, 128, 5, 18, 31
31, 271, 21.442804, 1, 131, 4, 18, 29
32, 241, 23.962656, 1, 77, 12, 21, 33
33, 242, 24.673554, 1, 150, 7, 21, 33
34, 281, 20.544484, 0, 95, 6, 18, 29
35, 263, 22.532319, 1, 136, 5, 18, 30
36, 307, 19.078176, 1, 99, 4, 15, 25
37, 249, 23.638554, 1, 110, 8, 20, 32
38, 284, 20.598592, 0, 106, 5, 17, 29
39, 286, 20.531469, 0, 97, 3, 17, 30
40, 267, 21.310861, 0, 108, 4, 18, 28
41, 269, 22.230483, 0, 98, 4, 20, 30
42, 262, 22.629771, 1, 131, 3, 17, 29
43, 265, 21.871698, 0, 134, 4, 20, 31
44, 284, 20.580986, 1, 113, 5, 17, 27
45, 291, 19.934708, 0, 84, 4, 17, 28
46, 263, 22.653992, 1, 101, 3, 19, 30
47, 299, 19.558528, 1, 119, 4, 17, 28
48, 276, 21.260870, 1, 88, 6, 18, 29
49, 290, 19.858621, 1, 94, 7, 17, 26
50, 244, 24.036885, 0, 121, 7, 20, 33
51, 249, 23.799197, 1, 106, 5, 20, 35
52, 278, 20.848921, 1, 118, 4, 17, 30
53, 289, 20.519031, 0, 165, 4, 16, 26
54, 271, 21.125461, 1, 102, 6, 20, 29
55, 232, 25.793103, 1, 124, 8, 22, 34
56, 258, 22.732558, 1, 115, 6, 19, 32
57, 263, 22.026616, 1, 129, 5, 19, 31
58, 260, 22.723077, 1, 131, 7, 20, 29
59, 250, 23.772000, 1, 125, 6, 19, 33
60, 2, 12.500000, 12, 13, 12, 12, 13
