time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 277, 21.787004, 1, 125, 5, 19, 31
1, 248, 23.447581, 1, 129, 4, 19, 31
2, 288, 19.986111, 1, 103, 4, 16, 27
3, 306, 19.313725, 0, 125, 4, 16, 26
4, 273, 21.637363, 1, 116, 4, 17, 27
5, 250, 23.312000, 1, 127, 5, 19, 31
6, 255, 22.898039, 1, 154, 4, 19, 31
7, 275, 21.650909, 1, 111, 4, 18, 33
8, 267, 22.093633, 1, 105, 5, 18, 30
9, 270, 21.214815, 1, 107, 4, 16, 28
10, 269, 21.810409, 0, 111, 5, 18, 29
11, 285, 20.764912, 1, 111, 5, 16, 28
12, 292, 20.123288, 1, 90, 6, 18, 27
13, 264, 22.045455, 1, 121, 3, 18, 33
14, 265, 21.879245, 1, 100, 5, 19, 30
15, 284, 20.982394, 1, 120, 3, 17, 29
16, 286, 20.157343, 1, 96, 4, 17, 28
17, 304, 19.213816, 1, 85, 5, 16, 27
18, 236, 25.080508, 1, 89, 13, 21, 36
19, 269, 21.791822, 1, 102, 5, 18, 30
20, 273, 21.582418, 1, 111, 4, 17, 30
21, 273, 21.505495, 1, 139, 5, 18, 30
22, 261, 22.145594, 1, 200, 3, 18, 30
23, 275, 21.563636, 0, 145, 4, 18, 29
24, 280, 20.439286, 1, 116, 3, 17, 28
25, 280, 21.096429, 1, 114, 5, 19, 29
26, 288, 20.500000, 1, 94, 4, 18, 28
27, 238, 24.163866, 1, 130, 5, 21, 31
28, 270, 21.566667, 1, 160, 6, 17, 31
29, 233, 25.266094, 1, 108, 7, 22, 35
30, 282, 21.212766, 1, 158, 3, 16, 29
31, 238, 24.932773, 0, 136, 9, 20, 34
32, 252, 22.797619, 1, 105, 5, 18, 31
33, 276, 21.108696, 1, 101, 5, 17, 28
34, 238, 25.117647, 1, 171, 4, 19, 32
35, 264, 21.977273, 0, 108, 8, 18, 31
36, 225, 25.497778, 1, 107, 5, 22, 34
37, 238, 25.163866, 1, 176, 8, 19, 31
38, 270, 21.796296, 1, 142, 6, 18, 29
39, 243, 23.995885, 0, 121, 3, 20, 32
40, 279, 21.032258, 1, 95, 5, 17, 29
41, 291, 20.051546, 0, 89, 4, 16, 28
42, 305, 18.980328, 1, 100, 4, 16, 28
43, 266, 22.165414, 1, 116, 6, 19, 31
44, 281, 20.871886, 1, 122, 4, 16, 27
45, 272, 21.812500, 1, 128, 5, 18, 29
46, 261, 22.505747, 1, 88, 5, 19, 29
47, 272, 21.165441, 1, 84, 5, 18, 31
48, 268, 21.712687, 1, 151, 3, 18, 29
49, 286, 20.769231, 1, 135, 5, 19, 28
50, 276, 21.380435, 1, 139, 5, 18, 29
51, 278, 21.107914, 1, 129, 6, 17, 29
52, 304, 19.194079, 1, 108, 4, 15, 27
53, 270, 21.788889, 1, 203, 7, 19, 28
54, 234, 25.051282, 1, 174, 3, 19, 30
55, 309, 18.679612, 1, 110, 4, 16, 25
56, 268, 22.141791, 1, 136, 5, 19, 30
57, 305, 19.059016, 0, 97, 4, 16, 27
58, 281, 20.565836, 0, 100, 5, 16, 28
59, 294, 19.989796, 1, 141, 5, 16, 26
60, 2, 24.000000, 20, 28, 20, 24, 28
