time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4388, 2.208979, 1, 10, 2, 2, 3
1, 4007, 2.469928, 0, 42, 2, 2, 3
2, 3931, 2.534470, 0, 27, 1, 2, 3
3, 4149, 2.365630, 1, 15, 2, 2, 3
4, 4299, 2.261921, 1, 14, 2, 2, 3
5, 3950, 2.515443, 0, 26, 2, 2, 3
6, 4102, 2.398830, 0, 17, 2, 2, 3
7, 3691, 2.727987, 1, 31, 2, 2, 3
8, 3850, 2.594805, 1, 21, 2, 2, 3
9, 3860, 2.589896, 0, 24, 2, 2, 3
10, 3950, 2.515949, 1, 21, 2, 2, 3
11, 4164, 2.362152, 1, 15, 2, 2, 3
12, 3899, 2.549372, 0, 22, 2, 2, 3
13, 4136, 2.373791, 1, 17, 2, 2, 3
14, 4031, 2.455470, 1, 20, 2, 2, 3
15, 4214, 2.329378, 1, 16, 2, 2, 3
16, 3903, 2.553677, 0, 19, 2, 2, 3
17, 4271, 2.283072, 1, 9, 2, 2, 3
18, 4276, 2.276894, 0, 11, 2, 2, 3
19, 3684, 2.732085, 0, 24, 2, 2, 3
20, 3334, 3.073485, 0, 31, 2, 2, 4
21, 3831, 2.619682, 0, 31, 2, 2, 3
22, 4149, 2.368523, 0, 11, 2, 2, 3
23, 4006, 2.467049, 0, 18, 2, 2, 3
24, 3980, 2.491709, 0, 21, 2, 2, 3
25, 4203, 2.322389, 1, 12, 2, 2, 3
26, 3680, 2.731522, 1, 39, 2, 2, 3
27, 3864, 2.588251, 0, 22, 2, 2, 3
28, 4170, 2.352998, 1, 9, 2, 2, 3
29, 4192, 2.348282, 1, 9, 2, 2, 3
30, 3858, 2.581908, 1, 22, 2, 2, 3
31, 4009, 2.459466, 1, 16, 2, 2, 3
32, 4238, 2.318546, 1, 9, 2, 2, 3
33, 4095, 2.411233, 1, 15, 2, 2, 3
34, 3907, 2.551062, 1, 21, 2, 2, 3
35, 4199, 2.315313, 1, 16, 2, 2, 3
36, 4155, 2.364140, 1, 14, 2, 2, 3
37, 3935, 2.523253, 1, 28, 2, 2, 3
38, 4176, 2.342193, 1, 17, 2, 2, 3
39, 4060, 2.422906, 1, 12, 2, 2, 3
40, 3741, 2.682438, 0, 40, 2, 2, 3
41, 4087, 2.407389, 1, 24, 2, 2, 3
42, 4218, 2.316975, 1, 9, 2, 2, 3
43, 4106, 2.392840, 1, 21, 2, 2, 3
44, 3901, 2.558831, 1, 17, 2, 2, 3
45, 4157, 2.358913, 1, 8, 2, 2, 3
46, 4135, 2.378235, 1, 23, 2, 2, 3
47, 3878, 2.571686, 1, 22, 2, 2, 3
48, 3884, 2.569258, 1, 17, 2, 2, 3
49, 4241, 2.312426, 1, 9, 2, 2, 3
50, 3901, 2.554217, 1, 21, 2, 2, 3
51, 3998, 2.479740, 1, 17, 2, 2, 3
52, 4216, 2.335152, 1, 9, 2, 2, 3
53, 4080, 2.414951, 1, 17, 2, 2, 3
54, 3837, 2.595778, 1, 23, 2, 2, 3
55, 4056, 2.427022, 1, 11, 2, 2, 3
56, 4082, 2.413768, 1, 16, 2, 2, 3
57, 3865, 2.582406, 1, 24, 2, 2, 3
58, 4086, 2.411160, 1, 11, 2, 2, 3
59, 4188, 2.345750, 1, 8, 2, 2, 3
60, 54, 2.500000, 1, 6, 2, 2, 3
