time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 267, 29.220974, 1, 169, 7, 23, 39
1, 275, 28.618182, 1, 132, 7, 22, 45
2, 283, 27.886926, 1, 160, 7, 20, 37
3, 271, 29.335793, 1, 232, 10, 24, 43
4, 283, 27.547703, 1, 141, 6, 23, 38
5, 263, 29.904943, 1, 147, 9, 21, 45
6, 236, 32.762712, 1, 129, 13, 24, 51
7, 290, 27.462069, 1, 138, 4, 20, 42
8, 266, 29.582707, 0, 153, 5, 22, 45
9, 276, 28.927536, 1, 160, 6, 24, 39
10, 257, 30.350195, 1, 149, 9, 26, 40
11, 278, 27.784173, 1, 128, 9, 21, 40
12, 265, 29.637736, 1, 141, 9, 24, 42
13, 264, 29.969697, 0, 141, 5, 23, 44
14, 235, 32.995745, 0, 184, 14, 25, 47
15, 287, 27.885017, 1, 125, 5, 21, 42
16, 271, 29.306273, 0, 143, 9, 23, 42
17, 297, 26.306397, 1, 130, 4, 19, 38
18, 266, 29.424812, 0, 142, 8, 22, 44
19, 277, 28.375451, 1, 168, 7, 20, 35
20, 246, 31.760163, 1, 142, 12, 23, 47
21, 284, 28.147887, 1, 160, 5, 21, 41
22, 293, 26.713311, 1, 124, 6, 22, 36
23, 253, 30.790514, 1, 125, 11, 24, 42
24, 293, 26.604096, 1, 170, 6, 20, 38
25, 302, 26.307947, 1, 149, 7, 20, 36
26, 259, 30.069498, 0, 173, 5, 22, 39
27, 274, 28.423358, 1, 103, 9, 22, 41
28, 272, 29.246324, 1, 142, 6, 23, 42
29, 277, 28.462094, 1, 142, 6, 21, 43
30, 281, 27.932384, 1, 155, 7, 21, 40
31, 265, 29.739623, 1, 142, 5, 24, 44
32, 255, 30.023529, 1, 207, 4, 21, 42
33, 293, 27.303754, 1, 128, 6, 22, 37
34, 307, 26.068404, 1, 122, 5, 19, 39
35, 252, 30.662698, 1, 177, 11, 22, 38
36, 268, 28.925373, 2, 118, 11, 23, 38
37, 288, 27.451389, 1, 145, 7, 21, 39
38, 271, 28.900369, 1, 152, 8, 22, 40
39, 274, 28.879562, 1, 120, 9, 24, 41
40, 279, 28.774194, 1, 146, 9, 23, 41
41, 257, 30.299611, 0, 157, 9, 22, 42
42, 245, 32.204082, 1, 140, 9, 25, 42
43, 296, 26.422297, 1, 137, 6, 20, 39
44, 287, 27.254355, 1, 139, 7, 20, 40
45, 257, 30.303502, 1, 143, 11, 23, 45
46, 257, 30.513619, 1, 165, 8, 23, 41
47, 282, 27.471631, 1, 173, 10, 21, 40
48, 258, 31.453488, 1, 178, 8, 23, 44
49, 293, 27.058020, 1, 125, 7, 22, 38
50, 263, 29.076046, 1, 109, 10, 23, 46
51, 257, 30.642023, 1, 135, 8, 23, 47
52, 288, 27.277778, 0, 180, 5, 19, 41
53, 268, 29.929104, 1, 131, 11, 23, 43
54, 254, 30.562992, 1, 123, 8, 24, 48
55, 251, 32.111554, 1, 131, 8, 24, 47
56, 235, 32.774468, 1, 204, 10, 23, 50
57, 254, 31.137795, 1, 132, 13, 23, 42
58, 307, 25.263844, 1, 112, 6, 20, 36
59, 238, 33.592437, 1, 153, 11, 22, 49
