time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 662, 5.549849, 1, 118, 2, 2, 7
1, 640, 5.670313, 1, 86, 2, 2, 7
2, 649, 5.585516, 1, 123, 2, 2, 6
3, 637, 5.788069, 1, 124, 2, 2, 8
4, 583, 6.327616, 1, 113, 2, 2, 8
5, 597, 6.197655, 1, 156, 2, 2, 8
6, 647, 5.421947, 1, 112, 2, 2, 7
7, 613, 6.176183, 1, 156, 2, 2, 7
8, 606, 6.105611, 1, 304, 2, 2, 7
9, 662, 5.438066, 1, 114, 2, 2, 7
10, 648, 5.717593, 1, 231, 2, 2, 7
11, 646, 5.743034, 1, 110, 2, 2, 7
12, 616, 5.959416, 1, 116, 2, 2, 7
13, 686, 5.020408, 1, 131, 2, 2, 6
14, 692, 5.518786, 1, 220, 2, 2, 6
15, 623, 5.825040, 1, 127, 2, 2, 7
16, 581, 6.492255, 1, 118, 2, 2, 7
17, 665, 5.457143, 1, 148, 2, 2, 7
18, 665, 5.515789, 1, 128, 2, 2, 6
19, 628, 5.609873, 1, 173, 2, 2, 8
20, 535, 7.151402, 1, 221, 2, 3, 8
21, 676, 5.440828, 1, 144, 2, 2, 6
22, 675, 5.469630, 1, 134, 2, 2, 6
23, 653, 5.537519, 1, 136, 2, 2, 7
24, 697, 5.021521, 1, 138, 2, 2, 6
25, 623, 6.178170, 1, 190, 2, 2, 7
26, 694, 5.269452, 1, 123, 2, 2, 6
27, 637, 5.649922, 1, 117, 2, 2, 7
28, 669, 5.355755, 1, 142, 2, 2, 6
29, 638, 5.846395, 1, 137, 2, 2, 7
30, 629, 5.910970, 1, 210, 2, 2, 7
31, 585, 6.275214, 1, 131, 2, 2, 7
32, 657, 5.121766, 1, 114, 2, 2, 6
33, 618, 6.360841, 1, 352, 2, 2, 7
34, 611, 6.080196, 1, 247, 2, 2, 7
35, 632, 5.653481, 1, 120, 2, 2, 7
36, 567, 6.626102, 1, 181, 2, 2, 8
37, 673, 5.432392, 1, 225, 2, 2, 6
38, 624, 5.756410, 1, 130, 2, 2, 6
39, 701, 5.322397, 1, 230, 2, 2, 6
40, 649, 5.568567, 1, 142, 2, 2, 6
41, 660, 5.483333, 1, 155, 2, 2, 7
42, 598, 6.264214, 1, 169, 2, 2, 8
43, 653, 5.468606, 1, 137, 2, 2, 7
44, 629, 5.985692, 1, 147, 2, 2, 7
45, 631, 5.776545, 1, 212, 2, 2, 7
46, 656, 5.614329, 1, 111, 2, 2, 6
47, 666, 5.403904, 1, 214, 2, 2, 6
48, 672, 5.444940, 1, 121, 2, 2, 6
49, 606, 6.151815, 1, 114, 2, 2, 7
50, 641, 5.541342, 1, 224, 2, 2, 7
51, 638, 5.763323, 1, 181, 2, 2, 7
52, 683, 5.385066, 1, 161, 2, 2, 6
53, 667, 5.260870, 1, 118, 2, 2, 6
54, 584, 6.424658, 1, 230, 2, 2, 7
55, 619, 6.124394, 1, 245, 2, 2, 7
56, 625, 5.780800, 1, 209, 2, 2, 7
57, 551, 6.793103, 1, 215, 2, 3, 8
58, 551, 6.595281, 1, 151, 2, 3, 8
59, 591, 6.394247, 1, 141, 2, 2, 8
