time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 233, 7.802575, 3, 50, 4, 5, 6
1, 138, 14.326087, 3, 111, 5, 9, 17
2, 204, 9.254902, 3, 71, 4, 5, 7
3, 208, 8.966346, 3, 107, 4, 5, 6
4, 187, 10.245989, 3, 113, 5, 5, 10
5, 167, 11.413174, 3, 117, 5, 6, 9
6, 161, 11.913043, 3, 129, 4, 5, 8
7, 219, 8.520548, 3, 55, 4, 5, 7
8, 192, 9.875000, 3, 94, 5, 6, 8
9, 198, 9.429293, 3, 160, 4, 5, 6
10, 244, 7.790984, 3, 57, 4, 5, 6
11, 224, 8.392857, 3, 69, 4, 5, 6
12, 228, 8.245614, 3, 52, 4, 5, 6
13, 197, 9.395939, 3, 60, 5, 5, 6
14, 229, 8.366812, 3, 66, 4, 5, 6
15, 238, 7.684874, 3, 50, 4, 5, 6
16, 196, 9.862245, 3, 66, 4, 5, 7
17, 257, 7.225681, 3, 58, 4, 5, 6
18, 229, 8.013100, 3, 50, 4, 5, 6
19, 271, 6.911439, 3, 54, 4, 5, 6
20, 193, 9.849741, 3, 93, 4, 5, 11
21, 219, 8.570776, 3, 54, 4, 5, 7
22, 243, 7.633745, 3, 69, 5, 5, 6
23, 197, 9.609137, 3, 52, 4, 6, 8
24, 246, 7.508130, 3, 65, 5, 5, 6
25, 192, 9.640625, 3, 97, 5, 6, 10
26, 197, 9.923858, 3, 68, 4, 5, 7
27, 276, 6.666667, 2, 48, 4, 4, 5
28, 251, 7.549801, 3, 65, 4, 4, 5
29, 253, 7.399209, 2, 43, 4, 4, 5
30, 231, 8.116883, 2, 51, 4, 5, 6
31, 262, 6.969466, 3, 53, 4, 5, 6
32, 289, 6.539792, 2, 41, 4, 5, 5
33, 269, 6.907063, 3, 58, 4, 5, 5
34, 158, 11.835443, 3, 150, 4, 5, 7
35, 226, 8.464602, 3, 51, 4, 5, 6
36, 221, 8.529412, 3, 81, 4, 5, 6
37, 244, 7.479508, 2, 57, 4, 5, 6
38, 250, 7.576000, 3, 59, 4, 4, 5
39, 212, 8.872642, 3, 74, 4, 5, 9
40, 237, 7.962025, 3, 87, 5, 6, 7
41, 214, 8.794393, 3, 58, 4, 6, 7
42, 247, 7.352227, 3, 60, 4, 5, 6
43, 215, 8.962791, 3, 50, 4, 5, 6
44, 203, 9.162562, 3, 73, 4, 5, 6
45, 219, 8.812785, 3, 56, 4, 5, 6
46, 216, 8.652778, 3, 67, 4, 5, 6
47, 229, 8.305677, 3, 60, 5, 5, 6
48, 213, 8.845070, 3, 100, 4, 5, 6
49, 232, 8.099138, 2, 74, 4, 5, 6
50, 240, 7.604167, 2, 51, 4, 5, 6
51, 218, 8.417431, 3, 67, 4, 5, 6
52, 257, 7.556420, 3, 76, 4, 5, 5
53, 264, 6.935606, 2, 57, 4, 5, 5
54, 237, 7.919831, 3, 49, 4, 4, 5
55, 241, 7.925311, 2, 51, 4, 4, 5
56, 244, 7.581967, 3, 50, 4, 4, 5
57, 285, 6.589474, 3, 48, 4, 4, 5
58, 250, 7.196000, 3, 56, 4, 4, 5
59, 243, 8.004115, 2, 58, 4, 4, 5
60, 2, 4.500000, 4, 5, 4, 4, 5
