time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3479, 1.294337, 0, 13, 1, 1, 1
1, 3548, 1.269166, 0, 8, 1, 1, 1
2, 3974, 1.150478, 0, 5, 1, 1, 1
3, 3580, 1.268715, 0, 20, 1, 1, 1
4, 3792, 1.186973, 0, 5, 1, 1, 1
5, 3826, 1.190800, 0, 14, 1, 1, 1
6, 3747, 1.202028, 0, 5, 1, 1, 1
7, 3727, 1.218138, 0, 14, 1, 1, 1
8, 4098, 1.119571, 0, 4, 1, 1, 1
9, 3780, 1.201058, 0, 12, 1, 1, 1
10, 3697, 1.222342, 0, 8, 1, 1, 1
11, 3831, 1.180371, 0, 9, 1, 1, 1
12, 3366, 1.349376, 0, 19, 1, 1, 1
13, 3577, 1.263070, 0, 9, 1, 1, 1
14, 3601, 1.253263, 0, 19, 1, 1, 1
15, 3644, 1.235181, 0, 22, 1, 1, 1
16, 3368, 1.356888, 0, 23, 1, 1, 1
17, 3541, 1.277888, 0, 18, 1, 1, 1
18, 3760, 1.200532, 0, 8, 1, 1, 1
19, 3858, 1.170555, 0, 6, 1, 1, 1
20, 3537, 1.283291, 0, 27, 1, 1, 1
21, 3675, 1.219320, 0, 5, 1, 1, 1
22, 3872, 1.169163, 0, 9, 1, 1, 1
23, 3739, 1.202461, 0, 7, 1, 1, 1
24, 3788, 1.195354, 0, 6, 1, 1, 1
25, 4016, 1.130478, 0, 8, 1, 1, 1
26, 3890, 1.160668, 0, 5, 1, 1, 1
27, 3633, 1.233416, 0, 7, 1, 1, 1
28, 4000, 1.140250, 0, 5, 1, 1, 1
29, 3937, 1.150876, 0, 5, 1, 1, 1
30, 3656, 1.223195, 0, 7, 1, 1, 1
31, 4074, 1.122730, 0, 6, 1, 1, 1
32, 4005, 1.132834, 0, 5, 1, 1, 1
33, 3667, 1.220344, 0, 7, 1, 1, 1
34, 4008, 1.137725, 0, 5, 1, 1, 1
35, 3992, 1.142285, 0, 5, 1, 1, 1
36, 3713, 1.206033, 0, 6, 1, 1, 1
37, 3999, 1.143536, 0, 5, 1, 1, 1
38, 3994, 1.136204, 0, 5, 1, 1, 1
39, 3696, 1.205898, 0, 9, 1, 1, 1
40, 4014, 1.129048, 0, 4, 1, 1, 1
41, 3944, 1.150101, 0, 5, 1, 1, 1
42, 3662, 1.223375, 0, 6, 1, 1, 1
43, 3183, 1.440779, 0, 30, 1, 1, 2
44, 3655, 1.222709, 0, 8, 1, 1, 1
45, 3632, 1.227423, 0, 6, 1, 1, 1
46, 3803, 1.183276, 0, 6, 1, 1, 1
47, 3617, 1.238319, 0, 13, 1, 1, 1
48, 3466, 1.262550, 0, 6, 1, 1, 1
49, 3662, 1.228564, 0, 6, 1, 1, 1
50, 3818, 1.179151, 0, 5, 1, 1, 1
51, 3671, 1.226096, 0, 10, 1, 1, 1
52, 3469, 1.266647, 0, 7, 1, 1, 1
53, 3552, 1.250845, 0, 11, 1, 1, 1
54, 3737, 1.196682, 0, 10, 1, 1, 1
55, 3577, 1.243500, 0, 12, 1, 1, 1
56, 3864, 1.173913, 0, 4, 1, 1, 1
57, 3773, 1.188974, 0, 5, 1, 1, 1
58, 3570, 1.248179, 0, 14, 1, 1, 1
59, 3883, 1.161988, 0, 5, 1, 1, 1
60, 56, 1.160714, 1, 2, 1, 1, 1
