time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3728, 2.145923, 0, 26, 1, 2, 2
1, 4063, 1.925671, 0, 11, 1, 2, 2
2, 4205, 1.836147, 0, 7, 1, 2, 2
3, 3894, 2.034412, 0, 19, 1, 2, 2
4, 3943, 2.007862, 1, 26, 1, 2, 2
5, 4187, 1.861715, 1, 7, 1, 2, 2
6, 4055, 1.935142, 1, 24, 1, 2, 2
7, 3821, 2.083486, 0, 20, 1, 2, 2
8, 4218, 1.840920, 1, 9, 1, 2, 2
9, 4156, 1.879211, 0, 10, 1, 2, 2
10, 3796, 2.096681, 1, 18, 1, 2, 2
11, 4094, 1.928432, 1, 10, 1, 2, 2
12, 4175, 1.867066, 1, 9, 1, 2, 2
13, 3883, 2.036570, 1, 28, 1, 2, 2
14, 4009, 1.963582, 1, 18, 1, 2, 2
15, 4072, 1.921906, 0, 8, 1, 2, 2
16, 4015, 1.960648, 1, 12, 1, 2, 2
17, 3738, 2.142590, 1, 26, 1, 2, 3
18, 4118, 1.898737, 1, 9, 1, 2, 2
19, 4171, 1.877248, 1, 8, 1, 2, 2
20, 3783, 2.106265, 1, 22, 1, 2, 2
21, 3919, 2.021944, 1, 13, 1, 2, 2
22, 4137, 1.888083, 1, 8, 1, 2, 2
23, 3831, 2.083790, 0, 21, 1, 2, 2
24, 3734, 2.149705, 1, 22, 1, 2, 3
25, 4113, 1.908826, 1, 10, 1, 2, 2
26, 4070, 1.926290, 1, 10, 1, 2, 2
27, 3746, 2.131073, 1, 24, 1, 2, 2
28, 4044, 1.939911, 1, 11, 1, 2, 2
29, 4127, 1.892900, 1, 8, 1, 2, 2
30, 3827, 2.074993, 0, 20, 1, 2, 2
31, 3898, 2.037455, 1, 25, 1, 2, 2
32, 4104, 1.911550, 1, 8, 1, 2, 2
33, 3888, 2.038323, 1, 37, 1, 2, 2
34, 3693, 2.178987, 1, 20, 1, 2, 3
35, 4074, 1.932499, 1, 7, 1, 2, 2
36, 4036, 1.951933, 0, 8, 1, 2, 2
37, 3670, 2.188828, 1, 20, 1, 2, 3
38, 3974, 1.997987, 1, 12, 1, 2, 2
39, 3991, 1.990228, 1, 9, 1, 2, 2
40, 3733, 2.139834, 1, 22, 1, 2, 2
41, 3780, 2.121693, 1, 23, 1, 2, 2
42, 4063, 1.943145, 1, 7, 1, 2, 2
43, 3850, 2.056104, 1, 20, 1, 2, 2
44, 3672, 2.188725, 1, 22, 1, 2, 3
45, 3930, 2.018575, 0, 20, 1, 2, 2
46, 3774, 2.124536, 1, 11, 1, 2, 2
47, 3428, 2.387398, 1, 31, 1, 2, 3
48, 3458, 2.362927, 1, 27, 2, 2, 3
49, 3945, 2.012928, 1, 10, 1, 2, 2
50, 3965, 1.992434, 1, 15, 1, 2, 2
51, 3601, 2.249375, 1, 19, 1, 2, 3
52, 3837, 2.086526, 1, 11, 1, 2, 2
53, 3947, 2.007094, 1, 7, 1, 2, 2
54, 3753, 2.137490, 1, 19, 1, 2, 2
55, 3770, 2.115650, 1, 17, 1, 2, 2
56, 3913, 2.033989, 1, 8, 1, 2, 2
57, 3829, 2.069209, 1, 22, 1, 2, 2
58, 3516, 2.309727, 1, 21, 1, 2, 3
59, 3866, 2.072168, 1, 8, 1, 2, 2
60, 41, 1.902439, 1, 4, 1, 2, 2
