time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4278, 1.309257, 0, 7, 1, 1, 2
1, 3897, 1.521170, 0, 19, 1, 1, 2
2, 4171, 1.364421, 0, 14, 1, 1, 2
3, 4398, 1.258981, 0, 5, 1, 1, 1
4, 3873, 1.529047, 0, 29, 1, 1, 2
5, 4264, 1.315901, 0, 7, 1, 1, 2
6, 4357, 1.266468, 0, 5, 1, 1, 1
7, 3827, 1.552130, 0, 18, 1, 1, 2
8, 4324, 1.290009, 0, 9, 1, 1, 1
9, 4332, 1.280240, 0, 5, 1, 1, 1
10, 3810, 1.566142, 0, 22, 1, 1, 2
11, 4342, 1.277522, 0, 5, 1, 1, 1
12, 4326, 1.283865, 0, 11, 1, 1, 1
13, 3801, 1.566430, 0, 20, 1, 1, 2
14, 4347, 1.270991, 0, 6, 1, 1, 1
15, 4201, 1.338253, 0, 15, 1, 1, 2
16, 3900, 1.495641, 0, 20, 1, 1, 2
17, 4349, 1.276615, 0, 5, 1, 1, 1
18, 4115, 1.383232, 0, 18, 1, 1, 2
19, 3898, 1.493330, 0, 19, 1, 1, 2
20, 4266, 1.303329, 0, 5, 1, 1, 2
21, 4051, 1.413972, 0, 19, 1, 1, 2
22, 4022, 1.427648, 0, 10, 1, 1, 2
23, 4323, 1.277816, 0, 5, 1, 1, 1
24, 3929, 1.485111, 0, 22, 1, 1, 2
25, 3922, 1.474758, 0, 18, 1, 1, 2
26, 4288, 1.292444, 0, 7, 1, 1, 1
27, 3929, 1.479257, 0, 22, 1, 1, 2
28, 4030, 1.425558, 0, 21, 1, 1, 2
29, 4276, 1.291394, 0, 5, 1, 1, 1
30, 3899, 1.498333, 0, 20, 1, 1, 2
31, 4087, 1.383166, 0, 8, 1, 1, 2
32, 4276, 1.291394, 0, 6, 1, 1, 1
33, 3832, 1.536013, 0, 17, 1, 1, 2
34, 4124, 1.361542, 0, 9, 1, 1, 2
35, 4240, 1.304953, 0, 5, 1, 1, 2
36, 3779, 1.571844, 0, 18, 1, 1, 2
37, 4178, 1.332695, 0, 7, 1, 1, 2
38, 4174, 1.334931, 0, 6, 1, 1, 2
39, 3732, 1.598875, 0, 20, 1, 1, 2
40, 4136, 1.350097, 0, 5, 1, 1, 2
41, 4215, 1.312456, 0, 12, 1, 1, 2
42, 3746, 1.592899, 1, 27, 1, 1, 2
43, 4210, 1.313777, 0, 5, 1, 1, 2
44, 4066, 1.382932, 0, 12, 1, 1, 2
45, 3723, 1.594950, 1, 22, 1, 1, 2
46, 4104, 1.357456, 0, 5, 1, 1, 2
47, 4025, 1.410186, 0, 12, 1, 1, 2
48, 3739, 1.578229, 1, 17, 1, 1, 2
49, 4155, 1.329964, 0, 9, 1, 1, 2
50, 3892, 1.493320, 0, 14, 1, 1, 2
51, 3841, 1.517834, 0, 24, 1, 1, 2
52, 4187, 1.325770, 0, 5, 1, 1, 2
53, 3852, 1.511163, 0, 18, 1, 1, 2
54, 3912, 1.464980, 0, 22, 1, 1, 2
55, 4025, 1.406957, 0, 22, 1, 1, 2
56, 3783, 1.554322, 1, 17, 1, 1, 2
57, 3878, 1.488912, 1, 10, 1, 1, 2
58, 4053, 1.388601, 1, 7, 1, 1, 2
59, 3709, 1.600431, 1, 22, 1, 1, 2
60, 67, 1.597015, 1, 6, 1, 1, 2
