time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3902, 1.467965, 1, 14, 1, 1, 2
1, 3625, 1.649379, 1, 26, 1, 1, 2
2, 4077, 1.366691, 1, 7, 1, 1, 2
3, 4077, 1.373559, 0, 10, 1, 1, 2
4, 3629, 1.650317, 1, 20, 1, 1, 2
5, 4071, 1.373373, 0, 6, 1, 1, 2
6, 3970, 1.424433, 0, 12, 1, 1, 2
7, 3637, 1.638163, 0, 14, 1, 1, 2
8, 4046, 1.387296, 0, 6, 1, 1, 2
9, 4042, 1.391390, 0, 6, 1, 1, 2
10, 3759, 1.564246, 1, 16, 1, 1, 2
11, 3812, 1.514953, 0, 30, 1, 1, 2
12, 4123, 1.331070, 0, 6, 1, 1, 2
13, 3824, 1.512814, 1, 13, 1, 1, 2
14, 3824, 1.515690, 0, 14, 1, 1, 2
15, 4078, 1.361942, 0, 6, 1, 1, 2
16, 3865, 1.483312, 1, 12, 1, 1, 2
17, 3634, 1.630160, 1, 24, 1, 1, 2
18, 4088, 1.346380, 1, 5, 1, 1, 2
19, 3943, 1.430890, 1, 12, 1, 1, 2
20, 3647, 1.626817, 1, 17, 1, 1, 2
21, 4082, 1.372366, 1, 6, 1, 1, 2
22, 4032, 1.384921, 0, 6, 1, 1, 2
23, 3583, 1.675970, 1, 15, 1, 1, 2
24, 4014, 1.390384, 0, 7, 1, 1, 2
25, 4082, 1.360853, 0, 5, 1, 1, 2
26, 3596, 1.657953, 1, 27, 1, 1, 2
27, 3927, 1.451744, 0, 10, 1, 1, 2
28, 4058, 1.372597, 1, 5, 1, 1, 2
29, 3755, 1.551531, 1, 23, 1, 1, 2
30, 3879, 1.482341, 1, 12, 1, 1, 2
31, 4092, 1.349462, 0, 5, 1, 1, 2
32, 3881, 1.480546, 0, 12, 1, 1, 2
33, 3760, 1.555053, 1, 18, 1, 1, 2
34, 4120, 1.341990, 1, 5, 1, 1, 2
35, 4001, 1.402399, 0, 7, 1, 1, 2
36, 3693, 1.605741, 1, 19, 1, 1, 2
37, 4093, 1.354019, 1, 6, 1, 1, 2
38, 4003, 1.407944, 1, 5, 1, 1, 2
39, 3640, 1.643132, 1, 22, 1, 1, 2
40, 3910, 1.460870, 0, 40, 1, 1, 2
41, 4036, 1.379336, 0, 5, 1, 1, 2
42, 3621, 1.653134, 0, 19, 1, 1, 2
43, 3842, 1.503904, 0, 13, 1, 1, 2
44, 4054, 1.382338, 1, 6, 1, 1, 2
45, 3841, 1.509503, 1, 15, 1, 1, 2
46, 3779, 1.536121, 0, 13, 1, 1, 2
47, 4134, 1.343735, 1, 5, 1, 1, 2
48, 3900, 1.464872, 0, 17, 1, 1, 2
49, 3699, 1.589619, 1, 20, 1, 1, 2
50, 3980, 1.431407, 0, 7, 1, 1, 2
51, 3930, 1.442494, 0, 11, 1, 1, 2
52, 3589, 1.666760, 1, 15, 1, 1, 2
53, 4045, 1.385414, 1, 6, 1, 1, 2
54, 4040, 1.389604, 1, 7, 1, 1, 2
55, 3603, 1.658340, 1, 18, 1, 1, 2
56, 3753, 1.563283, 1, 17, 1, 1, 2
57, 3831, 1.504829, 1, 12, 1, 1, 2
58, 3678, 1.614192, 1, 16, 1, 1, 2
59, 3794, 1.548234, 1, 10, 1, 1, 2
60, 108, 1.555556, 1, 5, 1, 1, 2
