time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4202, 1.360305, 0, 12, 1, 1, 2
1, 3563, 1.738703, 0, 47, 1, 1, 2
2, 3876, 1.531734, 0, 18, 1, 1, 2
3, 3543, 1.726221, 0, 50, 1, 1, 2
4, 4064, 1.421506, 0, 18, 1, 1, 2
5, 3815, 1.581913, 0, 21, 1, 1, 2
6, 4059, 1.425721, 0, 16, 1, 1, 2
7, 4133, 1.380353, 0, 10, 1, 1, 2
8, 3978, 1.487179, 0, 17, 1, 1, 2
9, 4091, 1.419213, 0, 12, 1, 1, 2
10, 4335, 1.301269, 0, 7, 1, 1, 2
11, 4198, 1.359457, 0, 16, 1, 1, 2
12, 3925, 1.513376, 0, 14, 1, 1, 2
13, 4002, 1.437031, 0, 12, 1, 1, 2
14, 4385, 1.288940, 0, 8, 1, 1, 1
15, 3982, 1.483174, 0, 15, 1, 1, 2
16, 2922, 2.207734, 0, 289, 1, 1, 2
17, 3988, 1.472919, 0, 11, 1, 1, 2
18, 3858, 1.529290, 0, 22, 1, 1, 2
19, 4026, 1.445852, 0, 14, 1, 1, 2
20, 3904, 1.505379, 0, 27, 1, 1, 2
21, 3900, 1.489487, 0, 27, 1, 1, 2
22, 3851, 1.539860, 0, 23, 1, 1, 2
23, 3959, 1.456934, 0, 10, 1, 1, 2
24, 4097, 1.402978, 0, 9, 1, 1, 2
25, 3919, 1.512631, 0, 17, 1, 1, 2
26, 4190, 1.360859, 0, 7, 1, 1, 2
27, 3937, 1.470917, 0, 10, 1, 1, 2
28, 3741, 1.603582, 0, 23, 1, 1, 2
29, 3688, 1.616866, 1, 14, 1, 1, 2
30, 4005, 1.434457, 0, 11, 1, 1, 2
31, 3353, 1.822249, 0, 30, 1, 1, 2
32, 3519, 1.764138, 0, 51, 1, 1, 2
33, 3837, 1.553036, 0, 17, 1, 1, 2
34, 3496, 1.786041, 0, 27, 1, 1, 2
35, 3786, 1.595087, 0, 23, 1, 1, 2
36, 3857, 1.536427, 0, 23, 1, 1, 2
37, 4289, 1.297505, 0, 5, 1, 1, 1
38, 4293, 1.309807, 0, 12, 1, 1, 2
39, 3956, 1.480789, 0, 14, 1, 1, 2
40, 4345, 1.280322, 0, 5, 1, 1, 1
41, 4353, 1.279348, 0, 4, 1, 1, 1
42, 3971, 1.479224, 0, 13, 1, 1, 2
43, 4304, 1.293913, 0, 6, 1, 1, 1
44, 4317, 1.297660, 0, 11, 1, 1, 1
45, 3934, 1.494662, 0, 16, 1, 1, 2
46, 4143, 1.369056, 0, 10, 1, 1, 2
47, 4143, 1.371470, 0, 12, 1, 1, 2
48, 3895, 1.517587, 0, 16, 1, 1, 2
49, 3980, 1.460553, 0, 16, 1, 1, 2
50, 4377, 1.270276, 0, 5, 1, 1, 1
51, 4146, 1.382779, 0, 15, 1, 1, 2
52, 4051, 1.426561, 0, 14, 1, 1, 2
53, 4395, 1.258020, 0, 5, 1, 1, 1
54, 4186, 1.353321, 0, 9, 1, 1, 2
55, 3939, 1.482864, 0, 14, 1, 1, 2
56, 4385, 1.270468, 0, 5, 1, 1, 1
57, 4226, 1.338381, 0, 16, 1, 1, 2
58, 3939, 1.495050, 0, 15, 1, 1, 2
59, 4333, 1.281791, 0, 5, 1, 1, 1
60, 38, 1.315789, 1, 4, 1, 1, 1
