time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 219, 8.639269, 1, 24, 2, 8, 12
1, 215, 8.786047, 1, 29, 5, 9, 12
2, 206, 9.237864, 1, 32, 5, 9, 12
3, 251, 7.402390, 1, 24, 2, 7, 10
4, 218, 8.637615, 1, 31, 4, 8, 12
5, 214, 8.780374, 1, 25, 5, 9, 12
6, 221, 8.443439, 1, 25, 2, 8, 12
7, 211, 8.995261, 1, 29, 4, 8, 13
8, 210, 9.009524, 1, 25, 5, 9, 13
9, 212, 8.910377, 1, 24, 5, 9, 12
10, 233, 8.098712, 1, 23, 2, 8, 11
11, 233, 8.025751, 1, 33, 3, 7, 11
12, 201, 9.497512, 1, 28, 5, 9, 14
13, 235, 7.944681, 1, 29, 3, 8, 11
14, 225, 8.360000, 1, 24, 5, 8, 11
15, 219, 8.543379, 1, 30, 5, 8, 11
16, 222, 8.500000, 1, 23, 3, 9, 12
17, 209, 9.043062, 1, 23, 5, 9, 13
18, 229, 8.179039, 1, 29, 2, 8, 12
19, 219, 8.543379, 1, 28, 4, 8, 12
20, 224, 8.352679, 1, 33, 2, 8, 12
21, 232, 8.198276, 1, 24, 2, 7, 12
22, 208, 8.985577, 1, 27, 5, 9, 12
23, 223, 8.399103, 1, 26, 2, 8, 12
24, 193, 9.886010, 1, 28, 6, 10, 14
25, 234, 8.008547, 1, 29, 2, 8, 11
26, 204, 9.220588, 1, 28, 5, 9, 12
27, 228, 8.245614, 1, 24, 2, 8, 12
28, 218, 8.596330, 1, 27, 4, 8, 12
29, 211, 8.928910, 1, 38, 2, 8, 13
30, 230, 8.252174, 1, 27, 2, 8, 12
31, 206, 9.116505, 1, 32, 6, 9, 12
32, 220, 8.563636, 1, 25, 4, 8, 11
33, 225, 8.417778, 1, 24, 2, 8, 12
34, 226, 8.314159, 1, 22, 2, 8, 12
35, 234, 7.978632, 1, 21, 2, 7, 11
36, 227, 8.334802, 1, 25, 5, 8, 11
37, 225, 8.368889, 1, 24, 4, 8, 12
38, 212, 8.825472, 1, 27, 5, 8, 12
39, 225, 8.417778, 1, 28, 5, 8, 11
40, 249, 7.497992, 1, 23, 2, 7, 10
41, 208, 9.100962, 1, 25, 6, 9, 12
42, 201, 9.407960, 1, 23, 5, 9, 13
43, 220, 8.522727, 1, 26, 2, 8, 11
44, 221, 8.479638, 1, 27, 2, 9, 12
45, 201, 9.417910, 1, 28, 5, 9, 12
46, 252, 7.452381, 1, 22, 2, 8, 10
47, 232, 8.025862, 1, 30, 2, 7, 11
48, 210, 9.071429, 1, 27, 2, 9, 13
49, 232, 8.081897, 1, 28, 4, 8, 11
50, 231, 8.077922, 1, 31, 2, 7, 11
51, 211, 8.952607, 1, 27, 4, 9, 12
52, 230, 8.160870, 1, 30, 2, 8, 12
53, 206, 9.101942, 1, 30, 5, 9, 12
54, 177, 10.768362, 1, 37, 4, 9, 15
55, 205, 9.312195, 1, 30, 3, 9, 13
56, 212, 8.919811, 1, 25, 2, 9, 13
57, 245, 7.575510, 1, 31, 2, 8, 11
58, 220, 8.595455, 1, 24, 5, 9, 12
59, 213, 8.901408, 1, 32, 4, 8, 13
60, 3, 8.666667, 2, 12, 2, 12, 12
