time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 147, 26.952381, 1, 95, 18, 22, 30
1, 154, 25.129870, 1, 88, 17, 21, 29
2, 148, 26.472973, 1, 151, 18, 22, 30
3, 157, 24.987261, 1, 118, 16, 21, 30
4, 146, 26.917808, 1, 120, 18, 22, 31
5, 145, 27.275862, 1, 95, 17, 24, 34
6, 145, 26.758621, 1, 103, 18, 23, 28
7, 147, 26.755102, 1, 97, 18, 23, 32
8, 169, 22.905325, 1, 86, 15, 19, 27
9, 147, 27.102041, 1, 155, 17, 22, 30
10, 156, 24.923077, 1, 110, 17, 22, 30
11, 163, 24.306748, 1, 103, 16, 22, 30
12, 164, 23.853659, 1, 96, 16, 21, 27
13, 153, 25.320261, 1, 88, 17, 21, 29
14, 162, 24.302469, 1, 88, 15, 20, 30
15, 148, 26.493243, 1, 103, 18, 23, 30
16, 152, 25.894737, 1, 102, 18, 22, 27
17, 156, 25.141026, 1, 81, 18, 22, 32
18, 147, 26.605442, 1, 108, 17, 23, 35
19, 149, 26.302013, 1, 136, 18, 22, 29
20, 152, 25.684211, 1, 107, 17, 22, 33
21, 149, 26.375839, 1, 84, 18, 22, 28
22, 143, 27.440559, 1, 124, 18, 23, 34
23, 155, 25.380645, 1, 120, 17, 21, 26
24, 137, 28.693431, 1, 139, 17, 23, 34
25, 151, 25.894040, 1, 115, 17, 22, 30
26, 143, 27.545455, 1, 117, 18, 23, 34
27, 143, 27.342657, 1, 90, 18, 22, 32
28, 154, 25.298701, 1, 87, 17, 21, 30
29, 150, 26.460000, 1, 94, 17, 23, 31
30, 144, 27.145833, 1, 87, 18, 23, 32
31, 147, 26.823129, 1, 122, 18, 22, 32
32, 156, 25.153846, 1, 124, 16, 21, 28
33, 140, 27.514286, 1, 105, 18, 23, 34
34, 153, 26.032680, 1, 75, 17, 22, 30
35, 143, 27.363636, 1, 133, 18, 23, 30
36, 153, 25.496732, 1, 119, 17, 22, 29
37, 158, 24.974684, 1, 99, 16, 20, 29
38, 161, 24.509317, 1, 89, 16, 21, 26
39, 156, 24.801282, 1, 121, 16, 21, 28
40, 156, 24.756410, 1, 114, 17, 20, 30
41, 162, 24.728395, 1, 79, 15, 20, 32
42, 156, 25.012821, 1, 95, 17, 21, 28
43, 163, 23.932515, 1, 87, 16, 21, 30
44, 156, 25.070513, 1, 136, 15, 22, 30
45, 149, 26.140940, 1, 94, 18, 22, 29
46, 147, 27.312925, 1, 94, 19, 23, 30
47, 158, 24.639241, 1, 104, 17, 21, 28
48, 161, 24.472050, 1, 84, 16, 21, 29
49, 141, 27.361702, 1, 117, 19, 23, 30
50, 146, 27.315068, 1, 112, 17, 23, 32
51, 153, 25.509804, 1, 140, 17, 22, 30
52, 158, 24.734177, 1, 86, 17, 22, 30
53, 157, 24.980892, 1, 139, 17, 22, 30
54, 154, 25.577922, 1, 81, 17, 22, 29
55, 149, 26.026846, 1, 85, 18, 22, 32
56, 141, 27.645390, 1, 117, 19, 23, 33
57, 138, 28.608696, 1, 145, 19, 24, 28
58, 145, 27.337931, 1, 189, 18, 23, 32
59, 154, 25.194805, 1, 98, 16, 21, 28
60, 1, 24.000000, 24, 24, 24, 24, 24
