time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 272, 3.158088, 0, 13, 1, 2, 5
1, 238, 3.672269, 0, 18, 1, 3, 6
2, 288, 2.899306, 0, 12, 0, 1, 5
3, 235, 3.680851, 0, 21, 1, 3, 6
4, 279, 3.032258, 0, 12, 1, 3, 5
5, 256, 3.343750, 0, 15, 1, 3, 5
6, 286, 2.944056, 0, 12, 1, 2, 5
7, 282, 2.996454, 0, 14, 1, 2, 5
8, 269, 3.100372, 0, 17, 1, 2, 5
9, 263, 3.243346, 0, 13, 1, 3, 6
10, 251, 3.442231, 0, 18, 1, 2, 6
11, 267, 3.183521, 0, 14, 1, 3, 6
12, 268, 3.182836, 0, 14, 1, 2, 5
13, 293, 2.856655, 0, 13, 0, 1, 5
14, 246, 3.500000, 0, 18, 1, 3, 6
15, 244, 3.610656, 0, 12, 1, 3, 6
16, 266, 3.244361, 0, 13, 1, 2, 5
17, 271, 3.195572, 0, 14, 1, 3, 5
18, 272, 3.106618, 0, 14, 0, 3, 6
19, 270, 3.111111, 0, 16, 1, 1, 5
20, 286, 2.958042, 0, 12, 1, 3, 5
21, 262, 3.190840, 0, 16, 1, 2, 5
22, 290, 2.868966, 0, 11, 0, 3, 5
23, 269, 3.133829, 0, 18, 1, 1, 5
24, 286, 2.916084, 0, 12, 0, 3, 5
25, 261, 3.226054, 0, 16, 0, 3, 6
26, 258, 3.310078, 0, 16, 1, 2, 6
27, 259, 3.305019, 0, 12, 0, 3, 6
28, 268, 3.156716, 0, 20, 1, 2, 5
29, 266, 3.180451, 0, 12, 0, 3, 6
30, 246, 3.495935, 0, 19, 1, 3, 6
31, 303, 2.726073, 0, 12, 0, 1, 5
32, 250, 3.444000, 0, 19, 1, 3, 6
33, 286, 2.947552, 0, 11, 1, 1, 5
34, 291, 2.879725, 0, 17, 0, 1, 5
35, 259, 3.277992, 0, 14, 1, 2, 5
36, 287, 2.919861, 0, 12, 0, 3, 5
37, 248, 3.463710, 0, 19, 1, 3, 6
38, 299, 2.769231, 0, 13, 0, 1, 5
39, 247, 3.449393, 0, 15, 1, 3, 6
40, 297, 2.781145, 0, 11, 0, 1, 5
41, 253, 3.339921, 0, 19, 1, 2, 6
42, 301, 2.727575, 0, 10, 0, 1, 5
43, 274, 3.018248, 0, 17, 1, 1, 6
44, 245, 3.555102, 0, 17, 1, 3, 6
45, 293, 2.839590, 0, 12, 0, 2, 5
46, 250, 3.416000, 0, 13, 1, 3, 6
47, 284, 2.971831, 0, 12, 1, 1, 5
48, 253, 3.363636, 0, 17, 1, 3, 5
49, 279, 3.039427, 0, 12, 1, 3, 5
50, 260, 3.311538, 0, 16, 1, 2, 6
51, 275, 3.054545, 0, 14, 1, 3, 5
52, 288, 2.934028, 0, 17, 0, 1, 5
53, 263, 3.258555, 0, 19, 1, 2, 5
54, 271, 3.114391, 0, 12, 1, 3, 5
55, 266, 3.210526, 0, 14, 1, 2, 5
56, 292, 2.863014, 0, 15, 0, 1, 5
57, 238, 3.680672, 0, 16, 1, 3, 6
58, 272, 3.113971, 0, 12, 1, 3, 5
59, 252, 3.432540, 0, 19, 1, 3, 5
